"state","num"
"Alabama",176
"Alaska",4
"Arizona",270
"Arkansas",38
"California",1823
"Colorado",375
"Connecticut",136
"Delaware",8
"Florida",630
"Georgia",468
"Hawaii",9
"Idaho",105
"Illinois",649
"Indiana",162
"Iowa",101
"Kansas",55
"Kentucky",87
"Louisiana",119
"Maine",94
"Maryland",96
"Massachusetts",801
"Michigan",380
"Minnesota",601
"Mississippi",26
"Missouri",336
"Montana",173
"Nebraska",114
"Nevada",325
"New Hampshire",48
"New Jersey",348
"New Mexico",74
"New York",1642
"North Carolina",323
"North Dakota",8
"Ohio",456
"Oklahoma",213
"Oregon",711
"Pennsylvania",617
"PuertoRico",19
"Rhode Island",28
"South Carolina",88
"South Dakota",31
"Tennessee",509
"Texas",933
"Utah",62
"Vermont",15
"Virginia",433
"Washington",791
"Washington, D.C.",379
"West Virginia",12
"Wisconsin",182
"Wyoming",9
